Programme,Entity,Value,YOA,DateOfFact
UNITED FIRE & CASUALTY QS,623,2725.492373,2021,01/03/2021
UNITED FIRE & CASUALTY QS,2623,12416.13192,2021,01/03/2021
UNITED FIRE & CASUALTY QS,BIDAC,463.4713404,2021,01/03/2021
WESTFIELD QS,623,14069.17209,2021,01/03/2021
WESTFIELD QS,2623,64092.89509,2021,01/03/2021
WESTFIELD QS,BIDAC,2392.469747,2021,01/03/2021
GEN (Whole Account),623,84682.66285,2021,01/03/2021
GEN (Whole Account),2623,385776.5752,2021,01/03/2021
GEN (Whole Account),6107,236942.8985,2021,01/03/2021
GEN (Whole Account),BIDAC,21652.93564,2021,01/03/2021
DOVE QS,623,13627.46187,2021,01/03/2021
DOVE QS,2623,62080.65961,2021,01/03/2021
DOVE QS,BIDAC,2317.356702,2021,01/03/2021
AMERICAN AGRICULTURE QS,623,3126.482687,2021,01/03/2021
AMERICAN AGRICULTURE QS,2623,14242.86558,2021,01/03/2021
AMERICAN AGRICULTURE QS,BIDAC,531.6599437,2021,01/03/2021
Combined Cat - TTY,623,28416.19421,2021,01/03/2021
Combined Cat - TTY,2623,129451.5514,2021,01/03/2021
Combined Cat - TTY,BIDAC,4832.18803,2021,01/03/2021
RSUI QS,623,4088.23856,2021,01/03/2021
RSUI QS,2623,18624.19788,2021,01/03/2021
RSUI QS,BIDAC,695.2070105,2021,01/03/2021
ERIE QS,623,8176.477119,2021,01/03/2021
ERIE QS,2623,37248.39576,2021,01/03/2021
ERIE QS,BIDAC,1390.414021,2021,01/03/2021
MUNICH - Surplus,623,5794.455191,2021,01/03/2021
MUNICH - Surplus,2623,26396.96254,2021,01/03/2021
MUNICH - Surplus,6107,1524.567995,2021,01/03/2021
MUNICH - Surplus,BIDAC,2844.397841,2021,01/03/2021
MUNICH - Quota Share all sections,623,57519.47694,2021,01/03/2021
MUNICH - Quota Share all sections,2623,262033.1727,2021,01/03/2021
MUNICH - Quota Share all sections,BIDAC,20759.01132,2021,01/03/2021
BICI MUNICH - Quota Share & Surplus,BICI,602402.4898,2021,01/03/2021
Systemic cover - Clash,623,80958.63872,2021,01/03/2021
Systemic cover - Clash,2623,368811.5764,2021,01/03/2021
Systemic cover - Clash,BICI,129204.6637,2021,01/03/2021
Systemic cover - Clash,BIDAC,48232.22639,2021,01/03/2021
SLCyEx QS1,623,13413.79142,2021,01/03/2021
SLCyEx QS1,2623,61107.27203,2021,01/03/2021
SLCyEx QS1,BICI,17396.3606,2021,01/03/2021
SLCyEx QS1,BIDAC,5432.103646,2021,01/03/2021
SLCyEx QS2,623,13457.14658,2021,01/03/2021
SLCyEx QS2,2623,61304.77887,2021,01/03/2021
SLCyEx QS2,BICI,17414.18919,2021,01/03/2021
SLCyEx QS2,BIDAC,5437.053464,2021,01/03/2021
Cyber Cat,623,50125.26327,2021,01/03/2021
Cyber Cat,2623,228348.4215,2021,01/03/2021
Cyber Cat,BICI,108728.2101,2021,01/03/2021
Cyber Cat,BIDAC,12387.26392,2021,01/03/2021
SLCyEx QS1 - TRC,623,8553.303612,2021,01/03/2021
SLCyEx QS1 - TRC,2623,38965.04979,2021,01/03/2021
SLCyEx QS1 - TRC,BICI,11230.9271,2021,01/03/2021
SLCyEx QS1 - TRC,BIDAC,3923.303776,2021,01/03/2021
FIDOML QS,623,85080.65604,2021,01/03/2021
FIDOML QS,2623,387589.6553,2021,01/03/2021
FIDOML QS,BICI,136024.328,2021,01/03/2021
FIDOML QS,BIDAC,102729.6703,2021,01/03/2021
Environmental QS,623,26037.98114,2021,01/03/2021
Environmental QS,2623,118617.4696,2021,01/03/2021
Environmental QS,BICI,5195.650802,2021,01/03/2021
Environmental QS,BIDAC,2514.024582,2021,01/03/2021
A&E Lawyers QS,623,19827.29737,2021,01/03/2021
A&E Lawyers QS,2623,90324.35467,2021,01/03/2021
A&E Lawyers QS,BICI,3981.385013,2021,01/03/2021
A&E Lawyers QS,BIDAC,274.5782768,2021,01/03/2021
Occurrence QS,623,1692.263499,2021,01/03/2021
Occurrence QS,2623,7709.200387,2021,01/03/2021
Occurrence QS,BIDAC,161.6160509,2021,01/03/2021
FIDOML QS,623,32037.54115,2021,01/03/2021
FIDOML QS,2623,145948.7986,2021,01/03/2021
FIDOML QS,BICI,51220.63239,2021,01/03/2021
FIDOML QS,BIDAC,38683.36463,2021,01/03/2021
Property Cat XL,623,191264.8592,2021,01/03/2021
Property Cat XL,2623,871317.6919,2021,01/03/2021
Property Cat XL,BICI,10.62593177,2021,01/03/2021
US Boiler & Machinery,623,1557.521395,2021,01/03/2021
US Boiler & Machinery,2623,7095.375246,2021,01/03/2021
Fine Art Specie XL,623,14113.09543,2021,01/03/2021
Fine Art Specie XL,2623,64292.99027,2021,01/03/2021
Occurrence QS PTY,623,5563.900009,2021,01/03/2021
Occurrence QS PTY,2623,25346.6556,2021,01/03/2021
Combined Cat - PTY,623,23961.02334,2021,01/03/2021
Combined Cat - PTY,2623,109155.773,2021,01/03/2021
Combined Cat - PTY,BICI,1.331181275,2021,01/03/2021
E&S & HVH Risk Excess,623,7202.950885,2021,01/03/2021
E&S & HVH Risk Excess,2623,32813.44292,2021,01/03/2021
CONFAC,623,2466.1581,2021,01/03/2021
CONFAC,2623,11234.72023,2021,01/03/2021
MINIMU - Political Risks QS,623,7772.85182,2021,01/03/2021
MINIMU - Political Risks QS,2623,35409.65829,2021,01/03/2021
MINIMU - Political Risks QS,BICI,187.6903334,2021,01/03/2021
MINIMU - Political Risks QS,BIDAC,2407.929643,2021,01/03/2021
Terrorism XLs,623,11336.6615,2021,01/03/2021
Terrorism XLs,2623,51644.79127,2021,01/03/2021
Terrorism XLs,BIDAC,56.73436842,2021,01/03/2021
TALK - Political Risks XL,623,9744.323495,2021,01/03/2021
TALK - Political Risks XL,2623,44390.80703,2021,01/03/2021
TALK - Political Risks XL,BICI,235.2952774,2021,01/03/2021
TALK - Political Risks XL,BIDAC,3018.666242,2021,01/03/2021
Occurrence QS Contingency,623,1707.018985,2021,01/03/2021
Occurrence QS Contingency,2623,7776.419821,2021,01/03/2021
Political Risk Stop Loss Agg,623,7618.623685,2021,01/03/2021
Political Risk Stop Loss Agg,2623,34707.06346,2021,01/03/2021
Political Risk Stop Loss Agg,BICI,183.9662009,2021,01/03/2021
Political Risk Stop Loss Agg,BIDAC,2360.151748,2021,01/03/2021
Aviation XOL,623,8103.523232,2021,01/03/2021
Aviation XOL,2623,36916.05028,2021,01/03/2021
Aviation XOL,BIDAC,308.2290575,2021,01/03/2021
MARGEN,623,49943.87089,2021,01/03/2021
MARGEN,2623,227522.0785,2021,01/03/2021
MARGEN,BICI,3086.072238,2021,01/03/2021
MARGEX,623,23676.6555,2021,01/03/2021
MARGEX,2623,107860.3195,2021,01/03/2021
MARGEX,BICI,1462.999722,2021,01/03/2021
Marine Specific aggregate,623,10068.95016,2021,01/03/2021
Marine Specific aggregate,2623,45869.66186,2021,01/03/2021
Marine Specific aggregate,BICI,622.1685867,2021,01/03/2021
MARRPP,623,887.8745812,2021,01/03/2021
MARRPP,2623,4044.761981,2021,01/03/2021
MARRPP,BICI,54.86248957,2021,01/03/2021
Composite (Marine/ Terror/ Treaty),623,3383.646039,2021,01/03/2021
Composite (Marine/ Terror/ Treaty),2623,15414.38751,2021,01/03/2021
Composite (Marine/ Terror/ Treaty),BICI,209.0782296,2021,01/03/2021
A&LIFE,3622,11806.31501,2021,01/03/2021
Life & Accident Cat,623,0.226900109,2021,01/03/2021
Life & Accident Cat,2623,1.033656051,2021,01/03/2021
Life & Accident Cat,3623,40148.71371,2021,01/03/2021
Life & Accident Cat,3622,966.4263896,2021,01/03/2021
Life & Accident Cat,BICI,410.5211229,2021,01/03/2021
Life & Accident Cat,BIDAC,491.6169025,2021,01/03/2021
"Life, Accident & Contingency Cat",623,154.025306,2021,01/03/2021
"Life, Accident & Contingency Cat",2623,701.6708386,2021,01/03/2021
"Life, Accident & Contingency Cat",3623,22723.78178,2021,01/03/2021
"Life, Accident & Contingency Cat",3622,2657.441443,2021,01/03/2021
"Life, Accident & Contingency Cat",BICI,289.6611173,2021,01/03/2021
"Life, Accident & Contingency Cat",BIDAC,47.83394598,2021,01/03/2021
CUNA QS,623,1953.40807,2021,01/03/2021
CUNA QS,2623,8898.858985,2021,01/03/2021
CUNA QS,BICI,22673.42666,2021,01/03/2021
TRALIA,623,8700.980973,2021,01/03/2021
TRALIA,2623,39637.80221,2021,01/03/2021
TRALIA,BIDAC,3200.595411,2021,01/03/2021
MASTER RI,623,361924.6336,2021,01/03/2021
MASTER RI,2623,1648767.775,2021,01/03/2021
